index:   38, size:  85538, qp: 26, enc_time:  4.04, black: 0, mvx:  -350, mvy:  -317, intra_mb:  6353, inter_mb:  1807, intra_ratio: 77.86, satd:    7896074, sqoe_score: 9.62210, sqoe_fr_score: 9.73264, recommend_rate:  28177,ssim: 0.98960, y_psnr: 42.413, u_psnr: 45.098, v_psnr: 45.454, yuv_psnr: 43.128, vmaf: 0.000, frame_type: 3
index:   39, size:  78535, qp: 26, enc_time:  3.98, black: 0, mvx:  -520, mvy:   -43, intra_mb:  6962, inter_mb:  1198, intra_ratio: 85.32, satd:    8086060, sqoe_score: 9.55849, sqoe_fr_score: 9.71950, recommend_rate:  38000,ssim: 0.98835, y_psnr: 41.756, u_psnr: 44.728, v_psnr: 44.923, yuv_psnr: 42.524, vmaf: 0.000, frame_type: 3
index:   40, size:  78656, qp: 27, enc_time:  3.85, black: 0, mvx:  -674, mvy:  -110, intra_mb:  7360, inter_mb:   800, intra_ratio: 90.20, satd:    8652177, sqoe_score: 9.45218, sqoe_fr_score: 9.67742, recommend_rate:  38000,ssim: 0.98774, y_psnr: 41.432, u_psnr: 44.587, v_psnr: 44.592, yuv_psnr: 42.221, vmaf: 0.000, frame_type: 3
index:   41, size:  70345, qp: 28, enc_time:  3.82, black: 0, mvx:  -321, mvy:  -246, intra_mb:  7398, inter_mb:   762, intra_ratio: 90.66, satd:    8156719, sqoe_score: 9.47713, sqoe_fr_score: 9.54686, recommend_rate:  38000,ssim: 0.98699, y_psnr: 41.628, u_psnr: 43.843, v_psnr: 44.555, yuv_psnr: 42.271, vmaf: 0.000, frame_type: 3
index:   42, size:  79196, qp: 28, enc_time:  3.94, black: 0, mvx:    44, mvy:  -194, intra_mb:  7275, inter_mb:   885, intra_ratio: 89.15, satd:    9013218, sqoe_score: 9.51361, sqoe_fr_score: 9.48720, recommend_rate:  39000,ssim: 0.98562, y_psnr: 41.301, u_psnr: 43.091, v_psnr: 44.120, yuv_psnr: 41.877, vmaf: 0.000, frame_type: 3
index:   43, size:  75108, qp: 29, enc_time:  3.99, black: 0, mvx:   245, mvy:   -69, intra_mb:  7224, inter_mb:   936, intra_ratio: 88.53, satd:    9596318, sqoe_score: 9.39684, sqoe_fr_score: 9.40976, recommend_rate:  41983,ssim: 0.98378, y_psnr: 40.439, u_psnr: 42.195, v_psnr: 43.734, yuv_psnr: 41.070, vmaf: 0.000, frame_type: 3
index:   44, size:  79040, qp: 29, enc_time:  3.83, black: 0, mvx:   360, mvy:  -144, intra_mb:  7038, inter_mb:  1122, intra_ratio: 86.25, satd:    9939773, sqoe_score: 9.41245, sqoe_fr_score: 9.49536, recommend_rate:  39792,ssim: 0.98199, y_psnr: 40.181, u_psnr: 41.519, v_psnr: 43.204, yuv_psnr: 40.726, vmaf: 0.000, frame_type: 3
index:   45, size:  91342, qp: 29, enc_time:  3.89, black: 0, mvx:   513, mvy:    21, intra_mb:  7213, inter_mb:   947, intra_ratio: 88.39, satd:    9764253, sqoe_score: 9.47856, sqoe_fr_score: 9.48112, recommend_rate:  39846,ssim: 0.98041, y_psnr: 40.116, u_psnr: 39.507, v_psnr: 39.947, yuv_psnr: 40.019, vmaf: 0.000, frame_type: 3
index:   46, size:  51427, qp: 30, enc_time:  3.76, black: 0, mvx:   769, mvy:   -96, intra_mb:  7357, inter_mb:   803, intra_ratio: 90.16, satd:    7673586, sqoe_score: 9.10607, sqoe_fr_score: 9.30082, recommend_rate:  45455,ssim: 0.98265, y_psnr: 41.387, u_psnr: 41.883, v_psnr: 42.369, yuv_psnr: 41.572, vmaf: 0.000, frame_type: 3
index:   47, size:  44160, qp: 30, enc_time:  3.72, black: 0, mvx:   267, mvy:  -147, intra_mb:  6970, inter_mb:  1190, intra_ratio: 85.42, satd:    7317008, sqoe_score: 9.18771, sqoe_fr_score: 9.17639, recommend_rate:  49052,ssim: 0.98174, y_psnr: 41.464, u_psnr: 42.662, v_psnr: 43.012, yuv_psnr: 41.808, vmaf: 0.000, frame_type: 3
